FES Amp = 150.0
FES Dur = 50.0
FES F = 1.0
FES Np = 1.0
Time (s), Torque (ft-lbs), FES Pulse, Window Flag
0.0,45.30201015655572,0.0,2
0.0011267662048339844,45.249379280261394,0.0,2
0.002529621124267578,45.232459882456226,0.0,2
0.0045244693756103516,45.252427701048134,0.0,2
0.006518125534057617,45.222209083262065,0.0,2
0.008494138717651367,45.24115760104373,0.0,2
0.009842634201049805,45.22371337757769,0.0,2
0.010882377624511719,45.28566646732905,0.0,2
0.012170791625976562,45.230755604781386,0.0,2
0.014122486114501953,45.262140999461906,0.0,2
0.016117334365844727,45.243568026949156,0.0,2
0.018111228942871094,45.20493749492477,0.0,2
0.01961827278137207,45.246842952286585,0.0,2
0.022049665451049805,45.27800222582215,0.0,2
0.024046897888183594,45.260897793038964,0.0,2
0.02604365348815918,45.21790215111296,0.0,2
0.028076648712158203,45.25333878475462,0.0,2
0.029636144638061523,45.27548743597771,0.0,2
0.03164362907409668,45.275616573248186,0.0,2
0.03369712829589844,45.266678268686654,0.0,2
0.035639047622680664,45.21010049471081,0.0,2
0.03761792182922363,45.25268437588388,0.0,2
0.03963065147399902,45.18298179298636,0.0,2
0.04112863540649414,45.21387158296513,0.0,2
0.042502403259277344,45.1827734185496,0.0,2
0.04450249671936035,45.215389664605816,0.0,2
0.04649686813354492,45.2702868305449,0.0,2
0.04849100112915039,45.23316454351144,0.0,2
0.051000356674194336,45.17599157462167,0.0,2
0.05324292182922363,45.258541223667585,0.0,2
0.055297136306762695,45.187238546053656,0.0,2
0.0572359561920166,45.17448202229895,0.0,2
0.05974149703979492,45.18553083881251,0.0,2
0.061768531799316406,45.206319290264666,0.0,2
0.0637671947479248,45.200597092971734,0.0,2
0.06576752662658691,45.185237033052914,0.0,2
0.0677642822265625,45.25096469323154,0.0,2
0.06975078582763672,45.184288072822866,0.0,2
0.07126712799072266,45.24775165975228,0.0,2
0.07326102256774902,45.1624678194334,0.0,2
0.07525467872619629,45.209988958856584,0.0,2
0.07725071907043457,45.15272153888766,0.0,2
0.07983016967773438,45.23460718863114,0.0,2
0.08183121681213379,45.13988409290609,0.0,2
0.08347773551940918,45.15652805964143,0.0,2
0.08545708656311035,45.22911651339494,0.0,2
0.08745169639587402,45.22564907485957,0.0,2
0.08995556831359863,45.16825270435994,0.0,2
0.09147477149963379,45.16420322005585,0.0,2
0.09348440170288086,45.19279592184034,0.0,2
0.09549069404602051,45.16722905662903,0.0,2
0.09747576713562012,45.15839510418876,0.0,2
0.09999251365661621,45.174572676123915,0.0,2
0.10207962989807129,45.19400077563814,0.0,2
0.10407590866088867,45.14676750600172,0.0,2
0.10607075691223145,45.12310863371831,0.0,2
0.10810065269470215,45.160660547513935,0.0,2
0.10960650444030762,45.11990420270867,0.0,2
0.11192965507507324,45.11257359076186,0.0,2
0.11396932601928711,45.194690893325735,0.0,2
0.11593937873840332,45.176356118442996,0.0,2
0.11791563034057617,45.200728475056636,0.0,2
0.1199185848236084,45.14159784096925,0.0,2
0.12224745750427246,45.18014292787578,0.0,2
0.12424325942993164,45.17725671502068,0.0,2
0.126237154006958,45.12439329203569,0.0,2
0.1282331943511963,45.16842685316086,0.0,2
0.12974119186401367,45.10078463052329,0.0,2
0.13212132453918457,45.112347773452036,0.0,2
0.13411855697631836,45.136119430971064,0.0,2
0.13611435890197754,45.084687278598544,0.0,2
0.13811016082763672,45.10606932559137,0.0,2
0.1396167278289795,45.093518758803164,0.0,2
0.14203929901123047,45.1739418427759,0.0,2
0.14403295516967773,45.09077271612233,0.0,2
0.14603090286254883,45.08903631158021,0.0,2
0.14802217483520508,45.12409964841451,0.0,2
0.14952969551086426,45.07843274368611,0.0,2
0.15154099464416504,45.073090529236694,0.0,2
0.15353775024414062,45.14488897983432,0.0,2
0.1555321216583252,45.093701255198766,0.0,2
0.15752696990966797,45.10159621191672,0.0,2
0.15952348709106445,45.07424295782129,0.0,2
0.16179895401000977,45.078288251093255,0.0,2
0.16379761695861816,45.07522190903078,0.0,2
0.16579198837280273,45.15097008905386,0.0,2
0.1677863597869873,45.056280402602816,0.0,2
0.16978049278259277,45.13275161183537,0.0,2
0.1709122657775879,45.14906581225511,0.0,2
0.17226648330688477,45.10406604273836,0.0,2
0.17424869537353516,45.101021190832995,0.0,2
0.1762526035308838,45.11820194793888,0.0,2
0.1782376766204834,45.044622886586204,0.0,2
0.17981505393981934,45.05048360539396,0.0,2
0.18183588981628418,45.063586562759404,0.0,2
0.18381023406982422,45.10248511777276,0.0,2
0.18580317497253418,45.06904297418532,0.0,2
0.18780922889709473,45.051959558578545,0.0,2
0.18982553482055664,45.077751528756046,0.0,2
0.19144201278686523,45.031224616816125,0.0,2
0.19349288940429688,45.061887949280205,0.0,2
0.19552040100097656,45.02912713163146,0.0,2
0.1975412368774414,45.028724267100245,0.0,2
0.1994764804840088,45.04052933552907,0.0,2
0.2014613151550293,45.10650368905018,0.0,2
0.20348334312438965,45.04259382332903,0.0,2
0.20545244216918945,45.079755077231745,0.0,2
0.20744729042053223,45.02768178785579,0.0,2
0.20995068550109863,45.05245488666184,0.0,2
0.21196842193603516,45.05721074419843,0.0,2
0.21500182151794434,45.08767867730088,0.0,2
0.21696090698242188,45.08114028686573,0.0,2
0.21898865699768066,45.04495161746386,0.0,2
0.22046995162963867,45.03597589666422,0.0,2
0.22290301322937012,45.075559280876696,0.0,2
0.24205279350280762,45.02072288428471,0.0,2
0.2716670036315918,45.03074730114883,0.0,2
0.2756655216217041,44.95139684447005,0.0,2
