FES Amp = 0.0
FES Dur = 0.0
FES F = 0.0
FES Np = 0.0
Thread Time (s), Thread Voltage (V), GUI Time (s), GUI Voltage (V), Inner Loop Time (s), 'Window Flag
0,0,0,0,0,0
0.10292601585388184,1.2482880947294535,0.11976432800292969,1.2482880947294535,0.14380383491516113,0
0.11976432800292969,1.2482880947294535,0.14693403244018555,1.2481630909146397,0.160447359085083,0
0.13453435897827148,1.2485381023590807,0.15926146507263184,1.2486631061738946,0.17073512077331543,0
0.13891339302062988,1.247663075655385,0.18757915496826172,1.2484130985442672,0.19241786003112793,0
0.14228534698486328,1.2485381023590807,0.2705690860748291,1.2482880947294535,0.31977224349975586,0
0.14693403244018555,1.2481630909146397,0.330364465713501,1.2481630909146397,0.3640439510345459,0
0.15926146507263184,1.2486631061738946,0.3723745346069336,1.2484130985442672,0.3915131092071533,0
0.16570830345153809,1.2484130985442672,0.39876413345336914,1.2486631061738946,0.4195399284362793,0
0.17438697814941406,1.2484130985442672,0.42339587211608887,1.2482880947294535,0.4450724124908447,0
0.17875885963439941,1.2484130985442672,0.44809603691101074,1.2484130985442672,0.4707207679748535,0
0.1838669776916504,1.2485381023590807,0.4769246578216553,1.2482880947294535,0.49370741844177246,0
0.18757915496826172,1.2484130985442672,0.49688053131103516,1.2482880947294535,0.5161154270172119,0
0.19102978706359863,1.2481630909146397,0.5237998962402344,1.2481630909146397,0.5382933616638184,0
0.19891643524169922,1.2484130985442672,0.5421040058135986,1.2481630909146397,0.5601174831390381,0
0.2044048309326172,1.2482880947294535,0.5644700527191162,1.2482880947294535,0.5813288688659668,0
0.20879554748535156,1.2482880947294535,0.5807249546051025,1.2481630909146397,0.6016795635223389,0
0.21166062355041504,1.2481630909146397,0.6077597141265869,1.2482880947294535,0.6220180988311768,0
0.21540284156799316,1.2482880947294535,0.6250545978546143,1.2484130985442672,0.6430928707122803,0
0.2284529209136963,1.2482880947294535,0.646233081817627,1.2482880947294535,0.6640071868896484,0
0.25058579444885254,1.2481630909146397,0.6703107357025146,1.2472880642109438,0.6860616207122803,0
